Pose Partition Network for Multi-Person Pose Estimation [Train and Val Phase]
Loading training json file: dataset/mpi/jsons/MPI_MP_TRAIN_annotations.json...
Finished loading training json file
Loading validation json file: dataset/mpi/jsons/MPI_MP_VAL_annotations.json...
Finished loading evaluation json file
Epoch: [4][140/615] 	CurLR: 0.003 	Loss 0.043566 (0.042338)	BatchTime 1.675 (1.646) 	
Epoch: [4][150/615] 	CurLR: 0.003 	Loss 0.040943 (0.042196)	BatchTime 1.627 (1.646) 	
Epoch: [4][160/615] 	CurLR: 0.003 	Loss 0.034314 (0.041840)	BatchTime 1.615 (1.646) 	
Epoch: [4][170/615] 	CurLR: 0.003 	Loss 0.042132 (0.041612)	BatchTime 1.565 (1.644) 	
Epoch: [4][180/615] 	CurLR: 0.003 	Loss 0.037210 (0.041512)	BatchTime 1.586 (1.643) 	
Epoch: [4][190/615] 	CurLR: 0.003 	Loss 0.046397 (0.041469)	BatchTime 1.612 (1.641) 	
Epoch: [4][200/615] 	CurLR: 0.003 	Loss 0.039616 (0.041420)	BatchTime 1.867 (1.639) 	
Epoch: [4][210/615] 	CurLR: 0.003 	Loss 0.041871 (0.041198)	BatchTime 1.570 (1.636) 	
Epoch: [4][220/615] 	CurLR: 0.003 	Loss 0.036600 (0.040976)	BatchTime 1.639 (1.635) 	
Epoch: [4][230/615] 	CurLR: 0.003 	Loss 0.039245 (0.040783)	BatchTime 1.577 (1.634) 	
Epoch: [4][240/615] 	CurLR: 0.003 	Loss 0.038677 (0.040641)	BatchTime 1.567 (1.634) 	
Epoch: [4][250/615] 	CurLR: 0.003 	Loss 0.036506 (0.040484)	BatchTime 1.646 (1.633) 	
Epoch: [4][260/615] 	CurLR: 0.003 	Loss 0.032157 (0.040353)	BatchTime 1.555 (1.632) 	
Epoch: [4][270/615] 	CurLR: 0.003 	Loss 0.034755 (0.040155)	BatchTime 1.572 (1.632) 	
Epoch: [4][280/615] 	CurLR: 0.003 	Loss 0.039608 (0.040045)	BatchTime 1.621 (1.630) 	
Epoch: [4][290/615] 	CurLR: 0.003 	Loss 0.037138 (0.039906)	BatchTime 1.569 (1.629) 	
Epoch: [4][300/615] 	CurLR: 0.003 	Loss 0.036985 (0.039763)	BatchTime 1.599 (1.629) 	
Epoch: [4][310/615] 	CurLR: 0.003 	Loss 0.036555 (0.039624)	BatchTime 1.552 (1.629) 	
Epoch: [4][320/615] 	CurLR: 0.003 	Loss 0.034868 (0.039542)	BatchTime 1.577 (1.629) 	
Epoch: [4][330/615] 	CurLR: 0.003 	Loss 0.038140 (0.039417)	BatchTime 1.566 (1.629) 	
Epoch: [4][340/615] 	CurLR: 0.003 	Loss 0.039019 (0.039363)	BatchTime 1.563 (1.628) 	
Epoch: [4][350/615] 	CurLR: 0.003 	Loss 0.041444 (0.039308)	BatchTime 1.907 (1.628) 	
Epoch: [4][360/615] 	CurLR: 0.003 	Loss 0.031043 (0.039206)	BatchTime 1.646 (1.627) 	
